Error,Category
"RuntimeError: maximum recursion depth exceeded", RESOURCE
"TypeError: object of type 'map' has no len()", DATA_STRUCTURE
"OSError: [Errno 28] No space left on device", DISK
"TypeError: 'str' object is not callable", DATA_TYPE
"NameError: name 'function_name' is not defined", SYNTAX
"TypeError: 'NoneType' object is not subscriptable", DATA_TYPE
"KeyError: 'non_existent_key'", DATA_STRUCTURE
"TypeError: 'dict' object is not callable", DATA_TYPE
"error: expected expression before '}' token", SYNTAX
"warning: format '%s' expects argument of type 'char *', but argument 2 has type 'int'", DATA_TYPE
"error: conflicting types for 'function_name'", DATA_TYPE
"error: segmentation fault (core dumped)", MEMORY
"error: invalid use of non-static data member 'member_name'", DATA_STRUCTURE
"error: expected ')' before '->' token", SYNTAX
"error: expected ';' at end of declaration", SYNTAX
#"error: 'for' loop initial declarations are only allowed in C99 mode", SYNTAX
"error: 'struct_name' has no member named 'member_name'", DATA_STRUCTURE
"error: function 'function_name' is initialized like a variable", SYNTAX
"warning: comparison between signed and unsigned integer expressions", DATA_TYPE
"error: incompatible types when assigning to type 'char *' from type 'int'", DATA_TYPE
"error: use of undeclared identifier 'variable_name'", SYNTAX
"error: too few arguments to function 'function_name'", DATA_TYPE
"error: expected identifier or '(' before '{' token", SYNTAX
"error: redefinition of 'variable_name'", SYNTAX
"error: invalid operands to binary expression ('int *' and 'int *')", DATA_TYPE
"error: array type 'char [length]' is not assignable", DATA_STRUCTURE
"error: expected expression before ')' token", SYNTAX
"warning: pointer targets in passing argument 2 of 'function_name' differ in signedness", DATA_TYPE
"error: 'return' with a value, in function returning void", SYNTAX
"error: 'break' statement not within loop or switch", SYNTAX
"error: 'variable_name' undeclared (first use in this function)", SYNTAX
"error: invalid operands to binary expression ('int' and 'char *')", DATA_TYPE
"warning: initialization makes integer from pointer without a cast", DATA_TYPE
"error: expected expression before ';' token", SYNTAX
"error: subscripted value is neither array nor pointer", DATA_STRUCTURE
"error: incompatible pointer types passing 'int *' to parameter of type 'const void *'", DATA_TYPE
"error: implicit declaration of function 'function_name'", SYNTAX
"warning: comparison between pointer and integer", DATA_TYPE
"error: too many arguments to function 'function_name'", DATA_TYPE
"error: 'void' must be the only parameter", SYNTAX
"error: invalid operands to binary expression ('char *' and 'char *')", DATA_TYPE
"error: passing argument 1 of 'function_name' makes pointer from integer without a cast", DATA_TYPE
"error: dereferencing pointer to incomplete type", DATA_STRUCTURE
"warning: assignment makes pointer from integer without a cast", DATA_TYPE
"error: expected declaration specifiers or '...' before 'variable_name'", SYNTAX
"error: called object 'function_name' is not a function or function pointer", DATA_TYPE
"error: 'struct_name' has no member named 'member_name'", DATA_STRUCTURE
"error: conflicting types for 'function_name'", DATA_TYPE
"error: 'struct_name' has no member named 'member_name'", DATA_STRUCTURE
"error: 'continue' statement not within a loop", SYNTAX
"error: 'variable_name' redeclared as different kind of symbol", SYNTAX
"error: too many arguments to function 'function_name'", DATA_TYPE
"TypeError: unsupported operand type(s) for +: 'int' and 'str'", DATA_TYPE
"IndexError: list index out of range", DATA_STRUCTURE
"ValueError: invalid literal for int() with base 10: '10.5'", DATA_TYPE
"NameError: name 'variable_name' is not defined", SYNTAX
"AttributeError: 'list' object has no attribute 'remove_all'", DATA_STRUCTURE
"FileNotFoundError: [Errno 2] No such file or directory: '/path/to/file.txt'", DISK
"KeyError: 'key_name'", DATA_STRUCTURE
"SyntaxError: invalid syntax", SYNTAX
"ZeroDivisionError: division by zero", ARITHMETIC
"TypeError: 'tuple' object does not support item assignment", DATA_TYPE
"AttributeError: 'str' object has no attribute 'split'", DATA_STRUCTURE
"ModuleNotFoundError: No module named 'module_name'", MODULE
"TypeError: 'NoneType' object is not subscriptable", DATA_TYPE
"ValueError: invalid literal for int() with base 10: 'ABC'", DATA_TYPE
"OSError: [Errno 28] No space left on device", DISK
"PermissionError: [Errno 13] Permission denied: '/path/to/protected_file.txt'", DISK
"TypeError: 'float' object is not iterable", DATA_TYPE
"RuntimeError: maximum recursion depth exceeded", RESOURCE
"TypeError: object of type 'map' has no len()", DATA_STRUCTURE
"TypeError: 'str' object is not callable", DATA_TYPE
"NameError: name 'function_name' is not defined", SYNTAX
"TypeError: can only concatenate list (not 'int') to list", DATA_TYPE
"IndexError: only integers, slices (:), ellipsis (...), numpy.newaxis (None) and integer or boolean arrays are valid indices", DATA_STRUCTURE
"CS0103: The name 'variable_name' does not exist in the current context", SYNTAX
"CS1061: 'object' does not contain a definition for 'method_name' and no extension method 'method_name' accepting a first argument of type 'object' could be found", DATA_STRUCTURE
"CS0117: 'class_name' does not contain a definition for 'method_name'", SYNTAX
"CS0029: Cannot implicitly convert type 'type1' to 'type2'", DATA_TYPE
"CS0246: The type or namespace name 'namespace_name' could not be found (are you missing a using directive or an assembly reference?)", MODULE
"CS0023: Operator 'operator' cannot be applied to operands of type 'type1' and 'type2'", DATA_TYPE
"CS1503: Argument 'argument_number' cannot convert 'type1' expression to type 'type2'", DATA_TYPE
"CS7036: There is no argument given that corresponds to the required formal parameter 'parameter_name' of 'method_name'", DATA_TYPE
"CS0101: The namespace 'namespace_name' already contains a definition for 'class_name'", SYNTAX
"CS1069: The type name 'type_name' could not be found in the namespace 'namespace_name'", MODULE
"CS0120: An object reference is required for the non-static field, method, or property 'member_name'", DATA_STRUCTURE
"CS0122: 'class_name' is inaccessible due to its protection level", DATA_STRUCTURE
"CS0246: The type or namespace name 'class_name' could not be found (are you missing a using directive or an assembly reference?)", MODULE
"CS0115: 'class_name.method_name' no suitable method found to override", SYNTAX
"CS0019: Operator 'operator' cannot be applied to operands of type 'type1' and 'type2'", DATA_TYPE
"CS1061: 'class_name' does not contain a definition for 'member_name' and no extension method 'member_name' accepting a first argument of type 'class_name' could be found", DATA_STRUCTURE
"CS0104: 'class_name' is an ambiguous reference between 'namespace1.class_name' and 'namespace2.class_name'", MODULE
"CS0579: Duplicate 'attribute_name' attribute", SYNTAX
"CS0118: 'method_name' is a 'method' but is used like a 'variable'", SYNTAX
"CS0102: The type 'class_name' already contains a definition for 'member_name'", SYNTAX
"CS1525: Invalid expression term 'invalid_term'", SYNTAX
"CS0117: 'class_name' does not contain a definition for 'method_name'",SYNTAX
"CS0103: The name 'variable_name' does not exist in the current context",SYNTAX
"java.lang.UnsupportedOperationException: empty.tail",DATA_STRUCTURE
"java.lang.ClassCastException: cannot cast class_name to class_name",DATA_TYPE
"IndexError: only integers, slices (:), ellipsis (...), numpy.newaxis (None) and integer or boolean arrays are valid indices",DATA_STRUCTURE
"TypeError: 'str' object is not callable",DATA_TYPE
"AttributeError: 'list' object has no attribute 'remove_element'",DATA_STRUCTURE
"CS0029: Cannot implicitly convert type 'type1' to 'type2'",DATA_TYPE
"CS1061: 'object' does not contain a definition for 'method_name' and no extension method 'method_name' accepting a first argument of type 'object' could be found",DATA_STRUCTURE
"TypeError: unsupported operand type(s) for +: 'int' and 'str'",DATA_TYPE
"java.lang.NullPointerException",SYNTAX
"NameError: name 'variable_name' is not defined",SYNTAX
"java.lang.IllegalArgumentException: Invalid format: ",DATA_TYPE
"CS0246: The type or namespace name 'namespace_name' could not be found (are you missing a using directive or an assembly reference?)",SYNTAX
"ValueError: invalid literal for int() with base 10: 'abc'",DATA_TYPE
"KeyError: 'key_name'",DATA_STRUCTURE
"TypeError: object of type 'map' has no len()",DATA_STRUCTURE
"SyntaxError: invalid syntax",SYNTAX
"IndexError: list index out of range",DATA_STRUCTURE
"TypeError: can only concatenate list (not 'int') to list",DATA_TYPE
"java.lang.ClassCastException: class_name cannot be cast to class_name",DATA_TYPE
"AttributeError: 'tuple' object has no attribute 'remove_element'",DATA_STRUCTURE
"ZeroDivisionError: division by zero",DATA_TYPE
"java.lang.NoSuchMethodError: method_name",SYNTAX
"CS1069: The type name 'type_name' could not be found in the namespace 'namespace_name' (are you missing an assembly reference?)",SYNTAX
"IndentationError: unexpected indent",SYNTAX
"FileNotFoundError: [Errno 2] No such file or directory: 'file_name.txt'",DATA_STRUCTURE
"java.lang.ArrayIndexOutOfBoundsException: index",DATA_STRUCTURE
"java.lang.ClassCastException: class_name cannot be cast to class_name",DATA_TYPE
"AttributeError: 'set' object has no attribute 'remove_element'",DATA_STRUCTURE
"TypeError: cannot unpack non-iterable object",DATA_STRUCTURE
"CS0266: Cannot implicitly convert type 'type1' to 'type2'. An explicit conversion exists (are you missing a cast?)",DATA_TYPE
"TypeError: 'float' object is not subscriptable",DATA_STRUCTURE
"AttributeError: 'dict' object has no attribute 'remove_element'",DATA_STRUCTURE
"java.lang.StringIndexOutOfBoundsException: String index out of range: ",DATA_STRUCTURE
"java.lang.ArithmeticException: / by zero",DATA_TYPE
"CS0019: Operator 'operator' cannot be applied to operands of type 'type1' and 'type2'",DATA_TYPE
"NameError: global name 'function_name' is not defined",SYNTAX
"AttributeError: 'int' object has no attribute 'append'",DATA_STRUCTURE
"SyntaxError: unexpected EOF while parsing",SYNTAX
"IndexError: list index out of range",DATA_STRUCTURE
"TypeError: can't multiply sequence by non-int of type 'str'",DATA_TYPE
"NameError: name 'module' is not defined",SYNTAX
"KeyError: 'key'",DATA_STRUCTURE
"TypeError: 'float' object is not subscriptable",DATA_STRUCTURE
"ValueError: invalid literal for int() with base 10: '3.14'",DATA_TYPE
"ZeroDivisionError: division by zero",DATA_TYPE
"TypeError: 'NoneType' object is not subscriptable",DATA_STRUCTURE
"SyntaxError: invalid syntax",SYNTAX
"FileNotFoundError: [Errno 2] No such file or directory: 'file.txt'",DATA_STRUCTURE
"TypeError: 'str' object is not callable",DATA_TYPE
"NameError: name 'variable_name' is not defined",SYNTAX
"AttributeError: 'list' object has no attribute 'remove_element'",DATA_STRUCTURE
"TypeError: unsupported operand type(s) for +: 'int' and 'str'",DATA_TYPE
"ValueError: not enough values to unpack (expected 2, got 1)",DATA_STRUCTURE
"SyntaxError: EOL while scanning string literal",SYNTAX
"TypeError: 'float' object is not iterable",DATA_STRUCTURE
"KeyError: 'nonexistent_key'",DATA_STRUCTURE
"NameError: name 'function_name' is not defined",SYNTAX
"IndexError: only integers, slices (:), ellipsis (...), numpy.newaxis (None) and integer or boolean arrays are valid indices",DATA_STRUCTURE
"TypeError: can only concatenate list (not 'int') to list",DATA_TYPE
"TypeError: 'tuple' object does not support item assignment",DATA_STRUCTURE
"SyntaxError: unexpected character after line continuation character",SYNTAX
"AttributeError: 'str' object has no attribute 'append'",DATA_STRUCTURE
"NameError: name 'object_name' is not defined",SYNTAX
"ValueError: invalid literal for int() with base 10: 'abc'",DATA_TYPE
"TypeError: 'tuple' object does not support item deletion",DATA_STRUCTURE
"FileNotFoundError: [Errno 2] No such file or directory: 'file_name.txt'",DATA_STRUCTURE
"TypeError: 'int' object is not iterable",DATA_STRUCTURE
"AttributeError: 'list' object has no attribute 'pop_item'",DATA_STRUCTURE
"SyntaxError: invalid token",SYNTAX
"IndexError: list assignment index out of range",DATA_STRUCTURE
"NameError: name 'module' is not defined",SYNTAX
"KeyError: 'key_name'",DATA_STRUCTURE
"TypeError: 'NoneType' object is not iterable",DATA_STRUCTURE
"ValueError: invalid literal for int() with base 10: '3,000'",DATA_TYPE
"TypeError: 'int' object is not subscriptable",DATA_STRUCTURE
"AttributeError: 'str' object has no attribute 'pop'",DATA_STRUCTURE
"SyntaxError: invalid syntax (<stdin>, line 1)",SYNTAX
"IndexError: tuple index out of range",DATA_STRUCTURE
"NameError: name 'object_name' is not defined",SYNTAX
"KeyError: 'missing_key'",DATA_STRUCTURE
"TypeError: 'set' object is not subscriptable",DATA_STRUCTURE
"ValueError: not enough arguments for format string",DATA_TYPE
"/usr/local/file1.txt: 'float' object is not subscriptable",DATA_STRUCTURE
"/var/www/file2.txt: 'NoneType' object is not subscriptable",DATA_STRUCTURE
"/home/user/documents/file3.txt: unsupported operand type(s) for -: 'str' and 'int'",DATA_TYPE
"/usr/local/file4.txt: list index out of range",DATA_STRUCTURE
"/var/www/file5.txt: name 'module' is not defined",SYNTAX
"/home/user/documents/file6.txt: 'dict' object has no attribute 'append'",DATA_STRUCTURE
"/usr/local/file7.txt: 'set' object is not subscriptable",DATA_STRUCTURE
"/var/www/file8.txt: invalid literal for int() with base 10: 'abc'",DATA_TYPE
"/home/user/documents/file9.txt: object of type 'int' has no len()",DATA_STRUCTURE
"/usr/local/file10.txt: unhashable type: 'list'",DATA_TYPE
"/var/www/file11.txt: 'str' object is not callable",DATA_TYPE
"/usr/local/file12.txt: 'tuple' object does not support item deletion",DATA_STRUCTURE
"/var/www/file13.txt: KeyError: 'missing_key'",DATA_STRUCTURE
"/home/user/documents/file14.txt: 'NoneType' object is not iterable",DATA_STRUCTURE
"/usr/local/file15.txt: ZeroDivisionError: division by zero",DATA_TYPE
"/var/www/file16.txt: list assignment index out of range",DATA_STRUCTURE
"/home/user/documents/file17.txt: 'int' object is not subscriptable",DATA_STRUCTURE
"/usr/local/file18.txt: 'str' object has no attribute 'pop'",DATA_STRUCTURE
"/var/www/file19.txt: IndexError: tuple index out of range",DATA_STRUCTURE
"/home/user/documents/file20.txt: 'int' object is not iterable",DATA_STRUCTURE
"/usr/local/file21.txt: 'float' object has no attribute 'append'",DATA_STRUCTURE
"/var/www/file22.txt: SyntaxError: invalid syntax (<stdin>, line 1)",SYNTAX
"/home/user/documents/file23.txt: 'tuple' object does not support item assignment",DATA_STRUCTURE
"/usr/local/file24.txt: 'NoneType' object has no attribute 'remove_element'",DATA_STRUCTURE
"/var/www/file25.txt: KeyError: 'key_name'",DATA_STRUCTURE
"/home/user/documents/file26.txt: TypeError: can only concatenate list (not 'int') to list",DATA_TYPE
"/usr/local/file27.txt: SyntaxError: EOL while scanning string literal",SYNTAX
"/var/www/file28.txt: name 'object_name' is not defined",SYNTAX
"/home/user/documents/file29.txt: 'set' object has no attribute 'remove_element'",DATA_STRUCTURE
"/usr/local/file30.txt: 'float' object is not iterable",DATA_STRUCTURE
"/var/www/file31.txt: TypeError: 'int' object does not support item deletion",DATA_STRUCTURE
"/home/user/documents/file32.txt: ValueError: invalid literal for int() with base 10: '3,000'",DATA_TYPE
"/usr/local/file33.txt: AttributeError: 'str' object has no attribute 'append'",DATA_STRUCTURE
"/var/www/file34.txt: NameError: name 'variable_name' is not defined",SYNTAX
"/home/user/documents/file35.txt: 'str' object has no attribute 'remove_element'",DATA_STRUCTURE
"/usr/local/file36.txt: SyntaxError: unexpected EOF while parsing",SYNTAX
"Unsupported operand type for /usr/local/file1.txt: expected 'int', got 'str'",DATA_TYPE
"/var/www/file2.txt: Oops! Something went wrong. Please try again later.",DATA_STRUCTURE
"Invalid literal for int() with base 10: 'abc'. File: /home/user/documents/file3.txt",DATA_TYPE
"/usr/local/file4.txt - Index out of range",DATA_STRUCTURE
"ModuleNotFoundError: No module named 'my_module'. File path: /var/www/file5.txt",SYNTAX
"Attribute 'remove_element' not found in dict. File: /home/user/documents/file6.txt",DATA_STRUCTURE
"TypeError: unsupported operand type(s) for +: 'int' and 'NoneType'. File path: /usr/local/file7.txt",DATA_TYPE
"/var/www/file8.txt: Something is not quite right here. Please check your inputs.",DATA_STRUCTURE
"FileNotFoundError: File '/home/user/documents/file9.txt' not found",DATA_STRUCTURE
"Unhashable type: 'set'. Path: /usr/local/file10.txt",DATA_TYPE
"NameError: name 'function_name' is not defined. File: /var/www/file11.txt",SYNTAX
"TypeError: 'tuple' object does not support item deletion. Path: /usr/local/file12.txt",DATA_STRUCTURE
"/var/www/file13.txt - Key 'missing_key' not found",DATA_STRUCTURE
"Cannot iterate over NoneType. File: /home/user/documents/file14.txt",DATA_STRUCTURE
"ZeroDivisionError: division by zero. Location: /usr/local/file15.txt",DATA_TYPE
"Index assignment out of range. Location: /var/www/file16.txt",DATA_STRUCTURE
"Attribute 'pop' not found in str. File: /home/user/documents/file17.txt",DATA_STRUCTURE
"/usr/local/file18.txt - Something went wrong while processing your request. Please contact support.",DATA_STRUCTURE
"Tuple index out of range. File path: /var/www/file19.txt",DATA_STRUCTURE
"Cannot iterate over int object. File: /home/user/documents/file20.txt",DATA_STRUCTURE
"AttributeError: 'float' object has no attribute 'append'. File: /usr/local/file21.txt",DATA_STRUCTURE
"SyntaxError: invalid syntax. File path: /var/www/file22.txt",SYNTAX
"Cannot assign items to tuple. Path: /home/user/documents/file23.txt",DATA_STRUCTURE
"'NoneType' object has no attribute 'remove_element'. File: /usr/local/file24.txt",DATA_STRUCTURE
"Key 'key_name' not found in dict. Location: /var/www/file25.txt",DATA_STRUCTURE
"TypeError: can only concatenate list (not 'int') to list. File: /home/user/documents/file26.txt",DATA_TYPE
"/usr/local/file27.txt - Something went wrong. Please try again later.",DATA_STRUCTURE
"Name 'object_name' is not defined. File path: /var/www/file28.txt",SYNTAX
"Attribute 'remove_element' not found in set. File: /home/user/documents/file29.txt",DATA_STRUCTURE
"Float object is not iterable. File path: /usr/local/file30.txt",DATA_STRUCTURE
"TypeError: 'int' object does not support item deletion. File: /var/www/file31.txt",DATA_STRUCTURE
"Invalid literal for int() with base 10: '3,000'. File path: /home/user/documents/file32.txt",DATA_TYPE
"Error in node 3 of 16. Connection timed out.",DATA_STRUCTURE
"Job failed with exit code 127. Check log files for more details.",SYNTAX
"Error reading input file on node 42 of 64. File may be corrupt.",DATA_STRUCTURE
"Memory allocation error on node 23 of 32. Check available memory and try again.",DATA_STRUCTURE
"Process 12 terminated unexpectedly. Please check log files for more information.",SYNTAX
"Job terminated due to out-of-memory error. Try reducing the number of nodes or using a smaller dataset.",DATA_STRUCTURE
"Cannot write output file on node 5 of 8. Permission denied.",DATA_STRUCTURE
"Invalid argument in function call on node 27 of 64. Check function arguments and try again.",SYNTAX
"Error in module XYZ on node 14 of 16. Module may need to be updated.",SYNTAX
"Job suspended due to resource constraints. Try submitting job at a later time.",DATA_STRUCTURE
"Error in task 3 of 8. Please check log files for more information.",SYNTAX
"Job terminated due to unexpected error. Contact support for assistance.",SYNTAX
"Output file not found on node 9 of 32. Check that output file was created.",DATA_STRUCTURE
"Error in process 5 of 8. Please check log files for more information.",SYNTAX
"Cannot allocate memory on node 17 of 64. Check available memory and try again.",DATA_STRUCTURE
"Job terminated due to signal 9 (Killed). Try reducing memory usage or increasing memory limits.",DATA_STRUCTURE
"Error in library function call on node 12 of 16. Check library version and function parameters.",SYNTAX
"Task 7 of 32 failed with error code 2. Check log files for more information.",SYNTAX
"Process 4 terminated with error code 1. Please check log files for more information.",SYNTAX
"Input file not found on node 23 of 64. Check that input file exists and is readable.",DATA_STRUCTURE
"Error in file read on node 8 of 16. File may be corrupt or not readable.",DATA_STRUCTURE
"Job terminated due to excessive CPU usage. Try optimizing code or increasing CPU limits.",DATA_STRUCTURE
"Task 5 of 8 suspended due to resource constraints. Try submitting task at a later time.",DATA_STRUCTURE
"Error in function call on node 15 of 32. Check function arguments and try again.",SYNTAX
"Output file too large on node 6 of 16. Try reducing the size of the output or increasing storage limits.",DATA_STRUCTURE
"Error in module ABC on node 3 of 16. Module may need to be recompiled.",SYNTAX
"Job terminated due to signal 15 (Terminated). Check log files for more information.",SYNTAX
"Error in task 8 of 32. Please check log files for more information.",SYNTAX
"Input file too large on node 10 of 32. Try reducing the size of the input or increasing storage limits.",DATA_STRUCTURE
"Job suspended due to excessive memory usage. Try reducing memory usage or increasing memory limits.",DATA_STRUCTURE
"Error in process 2 of 4. Please check log files for more information.",SYNTAX
"Task 2 of 16 failed with error code 3. Check log files for more information.",SYNTAX
"Cannot open input file on node 16 of 64. Check that input file exists and is readable.",DATA_STRUCTURE
"/mnt/scratch/input_1.txt: No space left on device", DATA_STRUCTURE
"/scratch/input_2.txt: Connection refused", DATA_STRUCTURE
"/home/user/compute_node_1: Kernel panic - not syncing", SYSTEM
"/mnt/output_1.txt: Input/output error", DATA_STRUCTURE
"/home/user/compute_node_2: Fatal error - out of memory", SYSTEM
"/mnt/output_2.txt: Write error", DATA_STRUCTURE
"/scratch/input_3.txt: Network is unreachable", DATA_STRUCTURE
"/mnt/output_3.txt: Permission denied", DATA_STRUCTURE
"/home/user/compute_node_3: CPU overheating - system halted", SYSTEM
"/mnt/scratch/input_4.txt: Protocol not supported", DATA_STRUCTURE
"/scratch/input_5.txt: File is locked", DATA_STRUCTURE
"/mnt/scratch/input_6.txt: Disk quota exceeded", DATA_STRUCTURE
"/mnt/output_4.txt: Broken pipe", DATA_STRUCTURE
"/home/user/compute_node_4: Machine check exception", SYSTEM
"/mnt/output_5.txt: No such file or directory", DATA_STRUCTURE
"/scratch/input_7.txt: Address already in use", DATA_STRUCTURE
"/mnt/output_6.txt: Resource temporarily unavailable", DATA_STRUCTURE
"/mnt/scratch/input_8.txt: Operation timed out", DATA_STRUCTURE
"/mnt/output_7.txt: Bad file descriptor", DATA_STRUCTURE
"/home/user/compute_node_5: Failed to initialize PCI device", SYSTEM
"/mnt/scratch/input_9.txt: Device not configured", DATA_STRUCTURE
"/scratch/input_10.txt: Protocol driver not attached", DATA_STRUCTURE
"/mnt/scratch/input_11.txt: Connection reset by peer", DATA_STRUCTURE
"/mnt/output_8.txt: Disk quota exceeded", DATA_STRUCTURE
"/home/user/compute_node_6: Processor thermal trip", SYSTEM
"/mnt/output_9.txt: Broken pipe", DATA_STRUCTURE
"/scratch/input_12.txt: Too many open files", DATA_STRUCTURE
"/mnt/output_10.txt: Network dropped connection on reset", DATA_STRUCTURE
"/mnt/scratch/input_13.txt: Network unreachable", DATA_STRUCTURE
"/mnt/output_11.txt: Device or resource busy", DATA_STRUCTURE
"/home/user/compute_node_7: Kernel panic - not syncing", SYSTEM
"/mnt/output_12.txt: Interrupted system call", DATA_STRUCTURE
"/scratch/input_14.txt: Connection timed out", DATA_STRUCTURE
"/mnt/output_13.txt: Connection refused", DATA_STRUCTURE
"/mnt/scratch/input_15.txt: Protocol not available", DATA_STRUCTURE
"/mnt/output_14.txt: File exists", DATA_STRUCTURE
"/home/user/compute_node_8: PCI error - unrecovered error detected", SYSTEM
"/mnt/output_15.txt: Invalid argument", DATA_STRUCTURE
"/scratch/input_16.txt: Cannot assign requested address", DATA_STRUCTURE
"/mnt/output_16.txt: No such device", DATA_STRUCTURE
"/mnt/scratch/input_17.txt: Network is down", DATA_STRUCTURE
"/mnt/output_17.txt: Host is down", DATA_STRUCTURE
"/home/user/compute_node_9: Fatal error - hardware error detected", SYSTEM
"/mnt/output_18.txt: Connection timed out", DATA_STRUCTURE
"/scratch/input_18.txt: No route to host", DATA_STRUCTURE
"/mnt/scratch/input_19.txt: File too large", DATA_STRUCTURE
"/mnt/output_19.txt: Socket operation on non-socket", DATA_STRUCTURE
"/home/user/compute_node_10: MCE error - corrected hardware error", SYSTEM
"at main.py line 45\nat module_a.py line 120", SYNTAX
"Unable to open file: 'file.txt' at main.py line 35\nat module_b.py line 87\nat module_c.py line 12", DATA_STRUCTURE
"NameError: global name 'variable_name' is not defined at main.py line 25\nat module_d.py line 10", SYNTAX
"TypeError: unsupported operand type(s) for +: 'int' and 'str'= at main.py line 55\nat module_e.py line 44\nat module_f.py line 9", DATA_TYPE
"KeyError: 'key_name', at main.py line 30\nat module_g.py line 22\nat module_h.py line 6", DATA_STRUCTURE
"ValueError: invalid literal for int() with base 10: 'abc', at main.py line 50\nat module_i.py line 33", DATA_TYPE
"IndexError: list index out of range, at main.py line 40\nat module_j.py line 55", DATA_STRUCTURE
"AttributeError: 'str' object has no attribute 'remove_element', at main.py line 60\nat module_k.py line 16", DATA_STRUCTURE
"ZeroDivisionError: division by zero, at main.py line 65\nat module_l.py line 28\nat module_m.py line 15", DATA_TYPE
"SyntaxError: invalid syntax, at main.py line 20", SYNTAX
"FileNotFoundError: [Errno 2] No such file or directory: 'file.txt', at main.py line 70\nat module_n.py line 6", DATA_STRUCTURE
"TypeError: 'NoneType' object is not subscriptable, at main.py line 75\nat module_o.py line 40\nat module_p.py line 8", DATA_STRUCTURE
"AttributeError: 'list' object has no attribute 'popitem', at main.py line 80\nat module_q.py line 12", DATA_STRUCTURE
"NameError: name 'function_name' is not defined, at main.py line 85\nat module_r.py line 21", SYNTAX
"TypeError: 'tuple' object does not support item assignment, at main.py line 90\nat module_s.py line 9", DATA_STRUCTURE
"IndexError: tuple index out of range, at main.py line 95\nat module_t.py line 16", DATA_STRUCTURE
"KeyError: 'missing_key', at main.py line 100\nat module_u.py line 14", DATA_STRUCTURE
"TypeError: can only concatenate str (not 'int') to str, at main.py line 105\nat module_v.py line 8", DATA_TYPE
